Index,Ref Code,Channel,Channel Name,Status,Created At,Used At,User Count,Notes
"1","WXYEBI","wechat","微信","active","2026-08-08T05:07:28.386Z","","0",""
"2","WX2WCV","wechat","微信","active","2026-08-08T05:07:28.386Z","","0",""
"3","WX363V","wechat","微信","active","2026-08-08T05:07:28.386Z","","0",""
"4","WXT1CD","wechat","微信","active","2026-08-08T05:07:28.386Z","","0",""
"5","WXQ1F6","wechat","微信","active","2026-08-08T05:07:28.386Z","","0",""
"6","WX21GB","wechat","微信","active","2026-08-08T05:07:28.386Z","","0",""
"7","WXBO2H","wechat","微信","active","2026-08-08T05:07:28.386Z","","0",""
"8","WX8IS7","wechat","微信","active","2026-08-08T05:07:28.386Z","","0",""
"9","WXRSFV","wechat","微信","active","2026-08-08T05:07:28.386Z","","0",""
"10","WXPP6E","wechat","微信","active","2026-08-08T05:07:28.386Z","","0",""
"11","WXDZGC","wechat","微信","active","2026-08-08T05:07:28.386Z","","0",""
"12","WX3OC2","wechat","微信","active","2026-08-08T05:07:28.386Z","","0",""
"13","WXEHP5","wechat","微信","active","2026-08-08T05:07:28.386Z","","0",""
"14","WXQ6LA","wechat","微信","active","2026-08-08T05:07:28.386Z","","0",""
"15","WX804M","wechat","微信","active","2026-08-08T05:07:28.386Z","","0",""
"16","WXYT9S","wechat","微信","active","2026-08-08T05:07:28.386Z","","0",""
"17","WX5PU0","wechat","微信","active","2026-08-08T05:07:28.386Z","","0",""
"18","WXIDOE","wechat","微信","active","2026-08-08T05:07:28.386Z","","0",""
"19","WXK5B1","wechat","微信","active","2026-08-08T05:07:28.386Z","","0",""
"20","WXLFEV","wechat","微信","active","2026-08-08T05:07:28.386Z","","0",""
"21","WX9A3H","wechat","微信","active","2026-08-08T05:07:28.386Z","","0",""
"22","WXJXWL","wechat","微信","active","2026-08-08T05:07:28.386Z","","0",""
"23","WX09IA","wechat","微信","active","2026-08-08T05:07:28.386Z","","0",""
"24","WXVL0J","wechat","微信","active","2026-08-08T05:07:28.386Z","","0",""
