KOL_ID,Platform,Account_Name,Followers_K,Engagement_Rate,Assigned_Code,Cash_Reward_CNY,Bonus_Structure,Contact_Method,Email_Or_Username,Status,Code_Used,Clicks,Registrations,Paid_Conversions,Notes
TK001,TikTok,@tarotheart,45,8.2%,TK001_XY7K2M,299,"邀请3用户→¥99代金",DM,tiktok.com/tarotheart,待联系,N,0,0,0,"高互动率 塔罗博主"
TK002,TikTok,@astrology.daily,32,6.5%,TK002_BJXR4N,199,"邀请3用户→¥99代金",DM,tiktok.com/astrology.daily,待联系,N,0,0,0,"占星科普"
TK003,TikTok,@spiritualbabe,28,7.1%,TK003_GQW9PT,199,"邀请3用户→¥99代金",DM,tiktok.com/spiritualbabe,待联系,N,0,0,0,"灵性教练"
TK004,TikTok,@destiny.reads,51,5.8%,TK004_LHVS5D,299,"邀请3用户→¥99代金",DM,tiktok.com/destiny.reads,待联系,N,0,0,0,"命理科普 中等互动"
TK005,TikTok,@zodiac.vibes,62,4.2%,TK005_ZCFM8K,199,"邀请3用户→¥99代金",DM,tiktok.com/zodiac.vibes,待联系,N,0,0,0,"星座文化 大号但互动率低"
TK006,TikTok,@tarot.wisdom,38,9.1%,TK006_RWAE3J,399,"邀请5用户→¥199代金",DM,tiktok.com/tarot.wisdom,待联系,N,0,0,0,"超高互动率 优先"
TK007,TikTok,@energy.healer,25,7.8%,TK007_PODC6V,199,"邀请3用户→¥99代金",DM,tiktok.com/energy.healer,待联系,N,0,0,0,"能量治愈"
TK008,TikTok,@meditation.flow,19,8.5%,TK008_NMKJ2L,199,"邀请3用户→¥99代金",DM,tiktok.com/meditation.flow,待联系,N,0,0,0,"冥想指南 纳米博主"
TK009,TikTok,@astro.navigator,41,6.9%,TK009_UXHG7Y,299,"邀请3用户→¥99代金",DM,tiktok.com/astro.navigator,待联系,N,0,0,0,"占星师"
TK010,TikTok,@chart.reader,35,7.3%,TK010_TFQB4W,199,"邀请3用户→¥99代金",DM,tiktok.com/chart.reader,待联系,N,0,0,0,"命理家"
TK011,TikTok,@fate.decoder,22,8.0%,TK011_SKPR9S,199,"邀请3用户→¥99代金",DM,tiktok.com/fate.decoder,待联系,N,0,0,0,"灵性博主"
TK012,TikTok,@soul.journey,29,7.5%,TK012_YDMX1H,199,"邀请3用户→¥99代金",DM,tiktok.com/soul.journey,待联系,N,0,0,0,"灵魂之旅"
